Basketball Men's Basketball,0
Weightlifting Men's Super-Heavyweight,16
Rowing Men's Lightweight Coxless Fours,21
"Wrestling Men's Light-Flyweight, Greco-Roman",17
"Canoeing Men's Canadian Singles, 1,000 metres",30
Sailing Mixed 5.5 metres,10
"Equestrianism Mixed Jumping, Team",24
Diving Men's Synchronized Platform,29
Snowboarding Men's Halfpipe,50
"Canoeing Women's Kayak Singles, Slalom",30
Weightlifting Women's Flyweight,16
Swimming Women's 100 metres Breaststroke,8
Swimming Women's 200 metres Breaststroke,8
"Wrestling Men's Middleweight B, Greco-Roman",17
Athletics Men's Stone Throw,6
"Athletics Men's Javelin Throw, Freestyle",6
Athletics Men's Pentathlon (Ancient),6
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",25
Swimming Women's 100 metres Butterfly,8
Weightlifting Men's Heavyweight I,16
"Athletics Women's 3,000 metres Steeplechase",6
"Athletics Men's Shot Put, Both Hands",6
"Ski Jumping Men's Large Hill, Individual",48
"Ski Jumping Men's Large Hill, Team",48
Shooting Women's Trap,25
Badminton Men's Doubles,9
Swimming Women's 4 x 200 metres Freestyle Relay,8
Athletics Men's 10 kilometres Walk,6
Athletics Women's 20 kilometres Walk,6
Athletics Women's 80 metres Hurdles,6
Sailing Men's One Person Heavyweight Dinghy,10
Freestyle Skiing Women's Aerials,43
"Art Competitions Mixed Painting, Paintings",13
"Tennis Mixed Doubles, Covered Courts",31
Cycling Men's Madison,28
"Art Competitions Mixed Sculpturing, Statues",13
Rugby Men's Rugby,51
Weightlifting Men's Heavyweight II,16
"Canoeing Women's Kayak Doubles, 500 metres",30
"Short Track Speed Skating Men's 5,000 metres Relay",52
Cycling Men's Individual Time Trial,28
Judo Women's Heavyweight,1
"Canoeing Men's Kayak Doubles, 1,000 metres",30
"Gymnastics Men's Individual All-Around, 5 Events",12
"Wrestling Men's Super-Heavyweight, Freestyle",17
Biathlon Women's 10 kilometres Pursuit,11
Biathlon Women's 12.5 kilometres Mass Start,11
Biathlon Women's 4 x 6 kilometres Relay,11
"Fencing Women's Sabre, Team",23
Shooting Men's Double Trap,25
Weightlifting Men's Bantamweight,16
Taekwondo Men's Heavyweight,27
Sailing Mixed Windsurfer,10
Taekwondo Women's Welterweight,27
"Shooting Mixed Free Rifle, Three Positions, 300 metres",25
Skeleton Men's Skeleton,53
Cycling Men's 50 kilometres,28
"Shooting Mixed Rapid-Fire Pistol, 25 metres",25
Cycling Men's 333 metres Time Trial,28
Cycling Men's 20 kilometres,28
"Canoeing Men's Kayak Singles, 10,000 metres",30
Sailing Mixed Open,10
Sailing Mixed 1-2 Ton,10
"Canoeing Men's Canadian Singles, Slalom",30
Luge Men's Singles,18
Luge Mixed (Men)'s Doubles,18
Sailing Mixed Multihull,10
Badminton Women's Doubles,9
"Speed Skating Women's 3,000 metres",4
Cross Country Skiing Women's 5/10 kilometres Pursuit,5
Cross Country Skiing Women's 4 x 5 kilometres Relay,5
Cross Country Skiing Women's 15 kilometres,5
Cross Country Skiing Women's 5/5 kilometres Pursuit,5
Diving Women's Synchronized Platform,29
Athletics Women's Triple Jump,6
Skeleton Women's Skeleton,53
Bobsleigh Men's Four/Five,22
"Art Competitions Mixed Painting, Drawings And Water Colors",13
"Shooting Men's Dueling Pistol, 30 metres",25
Boxing Women's Lightweight,26
Cycling Women's BMX,28
"Canoeing Men's Kayak Doubles, 200 metres",30
"Fencing Men's Sabre, Masters, Individual",23
Lacrosse Men's Lacrosse,54
"Canoeing Women's Kayak Singles, 500 metres",30
Athletics Women's 10 kilometres Walk,6
Sailing Mixed 12 metres,10
Judo Women's Extra-Lightweight,1
Diving Men's Synchronized Springboard,29
"Rowing Men's Coxed Fours, Outriggers",21
Gymnastics Men's Rope Climbing,12
Sailing Mixed Two Person Dinghy,10
"Art Competitions Mixed Architecture, Unknown Event",13
"Archery Men's Target Archery, 28 metres, Team",36
"Archery Men's Target Archery, 33 metres, Team",36
"Archery Men's Target Archery, 50 metres, Team",36
"Short Track Speed Skating Women's 3,000 metres Relay",52
Freestyle Skiing Women's Moguls,43
Short Track Speed Skating Men's 500 metres,52
"Shooting Men's Running Target, 10 metres",25
Polo Men's Polo,55
"Rowing Men's Coxed Fours, Inriggers",21
Cycling Men's BMX,28
Art Competitions Mixed Sculpturing,13
"Athletics Men's Cross-Country, Individual",6
"Athletics Men's Cross-Country, Team",6
Sailing Mixed 40 metres,10
Cross Country Skiing Men's 10/10 kilometres Pursuit,5
"Ski Jumping Women's Normal Hill, Individual",48
"Short Track Speed Skating Men's 1,000 metres",52
"Short Track Speed Skating Men's 1,500 metres",52
Gymnastics Men's Club Swinging,12
Tennis Women's Singles,31
Tennis Mixed Doubles,31
Tennis Women's Doubles,31
Judo Women's Middleweight,1
Judo Women's Lightweight,1
Cross Country Skiing Men's Team Sprint,5
Snowboarding Women's Halfpipe,50
"Canoeing Women's Kayak Singles, 200 metres",30
Canoeing Men's Kayak Relay 4 x 500 metres,30
"Athletics Men's 3,000 metres, Team",6
Cross Country Skiing Women's Sprint,5
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",25
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",25
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",25
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",25
"Shooting Men's Military Pistol, Team",25
Rowing Women's Coxed Fours,21
"Weightlifting Men's Unlimited, One Hand",16
"Canoeing Men's Canadian Singles, 500 metres",30
"Fencing Men's Foil, Masters, Individual",23
"Fencing Men's epee, Masters, Individual",23
"Gymnastics Men's Individual All-Around, Field Sports",12
"Gymnastics Men's Individual All-Around, Apparatus Work",12
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",13
"Fencing Women's epee, Team",23
"Swimming Men's 4,000 metres Freestyle",8
Swimming Men's Underwater Swimming,8
Sailing Mixed Skiff,10
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",25
"Shooting Men's Running Target, Single And Double Shot",25
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",25
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",25
Swimming Women's 10 kilometres Open Water,8
Snowboarding Women's Slopestyle,50
Snowboarding Men's Giant Slalom,50
Snowboarding Men's Parallel Giant Slalom,50
Snowboarding Men's Boardercross,50
Snowboarding Men's Parallel Slalom,50
"Cycling Men's Team Pursuit, 1,980 yards",28
"Cycling Men's 5,000 metres",28
Cycling Men's 100 kilometres,28
Cricket Men's Cricket,56
"Canoeing Men's Canadian Singles, 10,000 metres",30
Cross Country Skiing Women's Team Sprint,5
Boxing Women's Middleweight,26
Sailing Men's Skiff,10
Athletics Men's Pentathlon,6
"Swimming Men's 1,200 metres Freestyle",8
Shooting Women's Skeet,25
Biathlon Men's 15 kilometres Mass Start,11
Cross Country Skiing Men's 30 km Skiathlon,5
Cycling Men's 1/4 mile,28
Cycling Men's 1/2 mile,28
Cycling Men's 5 mile,28
Cycling Men's 25 mile,28
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",25
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",25
Speed Skating Men's Team Pursuit (8 laps),4
"Shooting Men's Free Rifle, 1,000 Yards",25
Cycling Women's Team Pursuit,28
"Speed Skating Women's 5,000 metres",4
"Athletics Men's 3,000 metres Walk",6
Snowboarding Women's Boardercross,50
"Shooting Mixed Running Target, 50 metres",25
Luge Mixed Team Relay,18
Cycling Women's Individual Time Trial,28
"Fencing Women's Sabre, Individual",23
"Fencing Men's Sabre, Individual, Three Hits",23
Archery Women's Double National Round,36
Cycling Men's Omnium,28
Equestrianism Mixed Hacks And Hunter Combined,24
Sailing Mixed 10 metres,10
"Shooting Men's Trap, Team",25
"Cycling Women's Individual Pursuit, 3,000 metres",28
Cycling Women's Points Race,28
Sailing Men's Two Person Keelboat,10
Cycling Men's Keirin,28
Cycling Men's Team Sprint,28
Athletics Men's 5 mile,6
"Shooting Men's Running Target, Single Shot, Team",25
Bobsleigh Women's Two,22
Racquets Men's Singles,57
Racquets Men's Doubles,57
"Art Competitions Mixed Literature, Lyric Works",13
Motorboating Mixed A-Class (Open),58
Archery Men's Continental Style,36
Military Ski Patrol Men's Military Ski Patrol,59
"Art Competitions Mixed Painting, Graphic Arts",13
"Wrestling Women's Flyweight, Freestyle",17
"Art Competitions Mixed Literature, Unknown Event",13
Sailing Mixed 0.5-1 Ton,10
"Art Competitions Mixed Painting, Applied Arts",13
"Croquet Mixed Singles, One Ball",60
Croquet Mixed Doubles,60
"Shooting Men's Running Target, Double Shot, Team",25
"Shooting Men's Free Pistol, 50 yards",25
"Shooting Men's Free Pistol, 50 yards, Team",25
"Fencing Men's epee, Masters and Amateurs, Individual",23
Swimming Men's 10 kilometres Open Water,8
"Art Competitions Mixed Music, Compositions For Orchestra",13
Archery Men's Double York Round,36
"Wrestling Women's Middleweight, Freestyle",17
"Equestrianism Men's Vaulting, Individual",24
Swimming Men's 4 x 250 metres Freestyle Relay,8
Freestyle Skiing Women's Slopestyle,43
Table Tennis Women's Team,39
Athletics Women's Hammer Throw,6
"Canoeing Men's Kayak Singles, 200 metres",30
Short Track Speed Skating Women's 500 metres,52
Shooting Women's Double Trap,25
Rowing Men's 6-Man Naval Rowing Boats,21
Art Competitions Mixed Music,13
"Shooting Men's Free Rifle, Kneeling, 300 metres",25
"Shooting Men's Free Rifle, Prone, 300 metres",25
"Shooting Men's Free Rifle, Standing, 300 metres",25
"Short Track Speed Skating Women's 1,000 metres",52
"Athletics Men's 3,200 metres Steeplechase",6
Rowing Women's Coxless Fours,21
Freestyle Skiing Women's Ski Cross,43
Freestyle Skiing Men's Ski Cross,43
"Tennis Men's Doubles, Covered Courts",31
"Tennis Men's Singles, Covered Courts",31
Cycling Men's 25 kilometres,28
"Nordic Combined Men's Normal Hill / 10 km, Individual",40
"Nordic Combined Men's Large Hill / 10 km, Individual",40
"Shooting Men's Military Rifle, 200 metres",25
"Short Track Speed Skating Women's 1,500 metres",52
Athletics Men's Standing Triple Jump,6
Rowing Men's Coxed Pairs (1 kilometres),21
"Shooting Men's Military Pistol, 30 metres",25
Cycling Women's Keirin,28
"Archery Men's Au Cordon Dore, 50 metres",36
Swimming Women's 300 metres Freestyle,8
Snowboarding Women's Giant Slalom,50
"Canoeing Men's Canadian Singles, 200 metres",30
Sailing Mixed 30 metres,10
"Athletics Men's 4,000 metres Steeplechase",6
"Athletics Men's 5,000 metres, Team",6
Snowboarding Men's Slopestyle,50
Rowing Men's Coxed Pairs (1 mile),21
Art Competitions Mixed Unknown Event,13
Cycling Women's Omnium,28
Freestyle Skiing Men's Halfpipe,43
Swimming Men's 200 metres Obstacle Course,8
Swimming Men's 200 metres Team Swimming,8
Sailing Mixed 12 foot,10
"Art Competitions Mixed Music, Instrumental And Chamber",13
"Art Competitions Mixed Music, Vocals",13
"Art Competitions Mixed Literature, Dramatic Works",13
Jeu De Paume Men's Singles,61
Sailing Mixed 10-20 Ton,10
Cycling Men's 1/3 mile,28
Cycling Men's 1 mile,28
Cycling Men's 2 mile,28
"Art Competitions Mixed Sculpturing, Medals And Plaques",13
"Athletics Men's 1,600 metres Medley Relay",6
"Croquet Mixed Singles, Two Balls",60
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",30
Athletics Men's 60 metres,6
Snowboarding Women's Parallel Giant Slalom,50
Sailing Mixed 2-3 Ton,10
Speed Skating Men's Allround,4
"Shooting Men's Military Rifle, Prone, 600 metres",25
"Canoeing Men's Canadian Doubles, 10,000 metres",30
Snowboarding Women's Parallel Slalom,50
"Shooting Men's Dueling Pistol, 30 metres, Team",25
"Gymnastics Men's Parallel Bars, Teams",12
"Gymnastics Men's Horizontal Bar, Teams",12
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",25
"Art Competitions Mixed Sculpturing, Medals And Reliefs",13
"Athletics Men's 1,500 metres Walk",6
"Athletics Men's 3 mile, Team",6
"Art Competitions Mixed Sculpturing, Medals",13
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",25
"Equestrianism Men's Vaulting, Team",24
"Shooting Men's Free Rifle, Any Position, 300 metres",25
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",25
Swimming Men's 100 Yard Backstroke,8
Swimming Men's 440 Yard Breaststroke,8
"Art Competitions Mixed Literature, Epic Works",13
Art Competitions Mixed Architecture,13
"Athletics Men's 3,500 metres Walk",6
Roque Men's Singles,62
Gymnastics Men's Side Horse,12
Alpinism Mixed Alpinism,63
Archery Men's Double American Round,36
Archery Men's Team Round,36
"Archery Men's Target Archery, 33 metres, Individual",36
"Archery Men's Target Archery, 50 metres, Individual",36
"Swimming Men's 1,000 metres Freestyle",8
Athletics Men's 10 mile Walk,6
"Athletics Men's Discus Throw, Both Hands",6
Golf Men's Team,34
Sailing Mixed 0-0.5 Ton,10
Sailing Mixed 20+ Ton,10
Cycling Women's Team Sprint,28
"Weightlifting Men's Unlimited, Two Hands",16
"Shooting Men's Free Pistol, 25 metres",25
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",25
"Shooting Men's Military Revolver, 20 metres",25
Shooting Men's Dueling Pistol Au Vise 20 metres,25
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",25
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",25
Sailing Mixed 6.5 metres,10
Athletics Men's 200 metres Hurdles,6
Athletics Men's 56-pound Weight Throw,6
Equestrianism Mixed Four-In-Hand Competition,24
"Athletics Men's 2,500 metres Steeplechase",6
"Art Competitions Mixed Music, Unknown Event",13
Athletics Men's All-Around Championship,6
"Archery Men's Pole Archery, Small Birds, Individual",36
"Archery Men's Pole Archery, Large Birds, Individual",36
"Archery Men's Pole Archery, Small Birds, Team",36
"Archery Men's Pole Archery, Large Birds, Team",36
"Athletics Men's 2,590 metres Steeplechase",6
Archery Women's Double Columbia Round,36
"Athletics Men's 4 mile, Team",6
Figure Skating Men's Special Figures,33
"Shooting Men's Military Rifle, Standing, 300 metres",25
Swimming Men's 50 yard Freestyle,8
Swimming Men's 100 yard Freestyle,8
Swimming Men's 440 yard Freestyle,8
Basque Pelota Men's Two-Man Teams With Cesta,64
"Shooting Men's Trap, Single Shot, 16 metres",25
"Shooting Men's Trap, Double Shot, 14 metres",25
Equestrianism Mixed Long Jump,24
"Canoeing Men's Folding Kayak Singles, 10 kilometres",30
"Shooting Men's Free Pistol, 30 metres",25
"Shooting Men's Military Pistol, 25 metres",25
Swimming Men's 100 metres Freestyle For Sailors,8
Archery Men's Sur La Perche a La Herse,36
Sailing Mixed 3-10 Ton,10
"Gymnastics Men's Individual All-Around, 4 Events",12
"Wrestling Men's Unlimited Class, Greco-Roman",17
Motorboating Mixed B-Class (Under 60 Feet),58
Motorboating Mixed C-Class,58
"Cycling Men's 10,000 metres",28
"Art Competitions Mixed Sculpturing, Reliefs",13
"Shooting Men's Muzzle-Loading Pistol, 25 metres",25
Equestrianism Mixed High Jump,24
Archery Men's Sur La Perche a La Pyramide,36
"Fencing Men's Single Sticks, Individual",23
Gymnastics Men's Tumbling,12
Shooting Men's Unknown Event,25
Sailing Mixed 18 foot,10
Archery Men's Unknown Event,36
"Archery Men's Au Chapelet, 50 metres",36
Archery Men's Championnat Du Monde,36
Archery Women's Team Round,36
"Wrestling Men's All-Around, Greco-Roman",17
Cycling Men's 12-Hours Race,28
Swimming Men's 500 metres Freestyle,8
Weightlifting Men's All-Around Dumbbell Contest,16
"Archery Men's Au Chapelet, 33 metres",36
"Archery Men's Au Cordon Dore, 33 metres",36
"Archery Men's Target Archery, 28 metres, Individual",36
Aeronautics Mixed Aeronautics,65
